sentence	polarity	positive	neutral	negative
快乐王子（1948） 	 positive 	0.22095513	0.3493732	0.4296717
快乐王子的像立在一个高高的圆柱上面，高高地耸在城市之上。 	 neutral 	0.28543296	0.4668489	0.2477181
他满身贴着薄薄的纯金叶子，一对蓝宝石做成他的眼睛，一只大的红宝石嵌在他的剑柄上，灿烂地发着红光。 	 neutral 	0.28543296	0.4668489	0.2477181
他的确得到一般人的称赞。 	 positive 	0.22095513	0.3493732	0.4296717
一个市参议员为了表示自己有着艺术的趣味，说过：“他就像风信标那样地漂亮，”不过他又怕别人会把他自己看作一个不务实际的人（其实他并不是不务实际的），便加上一句：“只是他不大像风信标那样地有用。” 	 negative 	0.1501622	0.34323427	0.50660354
“为什么你不能像快乐王子那样呢？”一个聪明的母亲对她那个哭着要月亮的孩子说： 	 negative 	0.1501622	0.34323427	0.50660354
“快乐王子连做梦也想不到会哭着要什么东西。” 	 negative 	0.1501622	0.34323427	0.50660354
“我很高兴世界上究竟有一个人是十分快乐的，”一个失意的人望着这座神奇的像喃喃说。 	 positive 	0.22095513	0.3493732	0.4296717
“他很像一个天使，”孤儿院的孩子们说，他们正从大教堂出来，披着光亮夺目的猩红色斗篷，束着洁白的遮胸。 	 neutral 	0.28543296	0.4668489	0.2477181
“你们怎么知道？”数学先生说，“你们就从没有见过一位天使。” 	 neutral 	0.28543296	0.4668489	0.2477181
“啊！可是我们在梦里见过的，”孩子们答道；数学先生皱起眉头，板着面孔，因为他不赞成小孩子做梦。 	 negative 	0.1501622	0.34323427	0.50660354
某一个夜晚一只小燕子飞过城市的上空。 	 neutral 	0.28543296	0.4668489	0.2477181
他的朋友们在六个星期以前就到埃及去了，但是他还留在后面，因为他正恋着他最美丽的芦苇。 	 neutral 	0.28543296	0.4668489	0.2477181
他还是在早春遇见她的，那时他沿着河顺流飞去，追逐一只黄色飞蛾，她的细腰十分引起他的注意，他便站住同她谈起话来。 	 positive 	0.22095513	0.3493732	0.4296717
“我可以爱你吗？”燕子说，他素来有着即刻谈到本题的脾气，芦苇对他深深地弯一下腰。 	 neutral 	0.28543296	0.4668489	0.2477181
因此他便在她的身边不停地飞来飞去，用他的翅子点水，做出许多银色的涟漪。 	 positive 	0.22095513	0.3493732	0.4296717
这便是他的求爱的表示，这继续了一个夏天。 	 neutral 	0.28543296	0.4668489	0.2477181
“这是一个可笑的恋爱，”别的燕子呢喃地说，“她没有钱，而且亲戚太多；”的确河边长满了芦苇，到处都是。 	 negative 	0.1501622	0.34323427	0.50660354
后来秋天来了，他们便都飞走了。 	 neutral 	0.28543296	0.4668489	0.2477181
他们走了以后，他觉得寂寞并且开始讨厌起他的爱人来。 	 negative 	0.1501622	0.34323427	0.50660354
他说：“她不讲话，我又害怕她是一个荡妇，因为她老是跟风调情。” 	 negative 	0.1501622	0.34323427	0.50660354
这倒是真的，风一吹，芦苇就行着最优雅的屈膝礼。 	 positive 	0.22095513	0.3493732	0.4296717
他又说：“我相信她是惯于家居的，可是我却喜欢旅行，那么我的妻子也应该喜欢旅行才成。” 	 positive 	0.22095513	0.3493732	0.4296717
“你愿意跟着我走吗？”他最后忍不住了问她道；然而芦苇摇摇头，她非常依恋家。 	 neutral 	0.28543296	0.4668489	0.2477181
“原来你从前是跟我寻开心的，”他叫道。 	 positive 	0.22095513	0.3493732	0.4296717
